Query points,Dimension,Retained rank,Raw factor+proj / cache,NPZ factor+proj / cache,Raw self-contained / cache,Cache update (us),Factor-direct update (us),Slowdown,Full NLL/dim,Same-budget spectral NLL/dim
1,3,3,1.1481481481481481,1.145808384336494,2.185185185185185,0.018987141927083336,0.20200382486979165,10.638980086921485,-1.209296714131342,-0.15282221291578915
2,6,6,1.0333333333333334,1.116267517281169,1.9333333333333333,0.020043782552083333,0.23820638020833332,11.884302755198986,-1.2122937813639865,-0.2970320478170572
4,12,7,0.5023148148148148,0.5262229165262301,1.4444444444444444,0.025285481770833337,0.2599102376302083,10.279030472340589,-1.22414553531466,-0.2377027755665965
8,24,7,0.18836805555555555,0.23214081526118166,1.1666666666666667,0.04171484375000001,0.27387166341145835,6.565328760495676,-1.2360050560030018,-0.27335377112105325
